Base;Lat;Long;Temp;Altitude
Ariranha;-21,132937;-48,840246;30,2;525
Avaré;-23,101749;-48,940997;26,3;776
Barra Bonita;-22,471205;-48,557573;28,1;534
Barra do Turvo;-24,962819;-48,416379;20,2;660
Barretos;-20,559175;-48,554997;28,1;534
Baruerí;-23,523890;-46,894500;23,3;777
Bauru;-22,358052;-49,028877;29,1;636
Bebedouro;-20,949197;-48,489944;28,1;790
Bertioga;-23,844678;-46,143376;22,9;5
Bragança Paulista;-22,951927;-46,530501;22,5;891
Cachoeira Paulista;-22,689001;-45,005444;21,2;586
Campos do Jordão;-22,750231;-45,603836;11,4;1663
Casa Branca;-21,780560;-47,075280;26,6;734
Dracena;-21,457699;-51,552254;32,5;720
Franca;-20,584475;-47,382549;28,7;1003
Ibitinga;-21,855567;-48,799717;31,3;497
Iguape;-24,671654;-47,545896;23,4;3
Itapeva;-23,981918;-48,885818;23,8;743
Itapira;-22,415062;-46,805292;29,1;636
Ituverava;-20,359760;-47,775220;29;611
Jales;-20,165025;-50,595134;28,9;460
José Bonifácio;-21,085675;-49,920388;31,2;408
Lins;-21,666045;-49,734854;30,9;461
Marília;-22,235222;-49,986111;29,8;660
Ourinhos;-22,949000;-49,894646;30,2;443
Pradópolis;-21,338432;-48,114007;29,6;540
Presidente Prudente;-22,119887;-51,408637;28,9;432
Rancharia;-22,372832;-50,974710;31,3;399
Registro;-24,533314;-47,864139;22,8;35
São Carlos;-21,980353;-47,883927;26,7;859
São Luiz do Paraitinga;-23,228362;-45,417055;20,5;862
São Miguel Arcanjo;-23,852022;-48,164817;22,4;676
São Paulo;-23,496294;-46,620088;23;786
São Paulo-SESC;-23,724451;-46,677511;20,8;771
São Sebastião;-23,810722;-45,402528;22,6;24
São Simão;-21,461019;-47,579512;27,5;620
Sorocaba;-23,426035;-47,585552;24,6;609
Taubaté;-23,041668;-45,520841;22,7;582
Tupã;-21,927251;-50,490251;30,4;498
Valparaíso;-21,319138;-50,930158;32,1;382
Votuporanga;-20,403221;-49,966031;30,2;510
